Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,95 % CI,Lower CI,Upper CI,FIPS,Geolocation
2021,Iowa,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65-74,65-74,Total Cases,Total Cases,"11,152",,,,19,POINT (-93.816491 42.469401)
2019,Maryland,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,65-74,65-74,Total Events,Total Events,"1,047",,,,24,POINT (-76.60926 39.290581)
0,United States,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic Black,,,,Total Events,Total Events,"119,957",,,,,
2021,South Dakota,High Blood Pressure,"Prevalence of Self-reported High Blood Pressure in Adults with Diabetes, Aged 18 Years or Older",Sex,Females,,,,Crude Rate (per 100),Crude Rate (per 100),73.5,,,,46,POINT (-100.373531 44.35313)
2021,North Carolina,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,65-74,65-74,Total Cases,Total Cases,"42,285",,,,37,POINT (-79.15925 35.466221)
2021,United States,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Total Cases,Total Cases,"2,044,079",,,,,
2021,Nebraska,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65-74,65-74,Total Cases,Total Cases,"7,044",,,,31,POINT (-99.365721 41.641041)
2021,Wyoming,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Estimated Cases (in thousands),Cases (in thousands),3.3,,,,56,POINT (-108.10983 43.235541)
2019,Georgia,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Rural and Urban Areas,Rural,,,,Total Events,Total Events,197,,,,13,POINT (-83.62758 32.839681)
2021,Hawaii,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,45-64,45-64,Rate (per 100),Rate (per 100),10.6,8.4-12.8,8.4,12.8,15,POINT (-157.857749 21.30485)
2021,New Mexico,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Males,Age,18+,Total,Rate (per 100),Rate (per 100),12.6,11.0-14.2,11,14.2,35,POINT (-106.240581 34.520881)
2021,United States,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65-74,65-74,Total Cases,Total Cases,"2,493,974",,,,,
2021,Arizona,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Total Cases,Total Cases,"35,613",,,,4,POINT (-111.763811 34.86597)
