State,Average Diabetes Prevalence
Mississippi,13.700000000000001
Alabama,13.266666666666666
West Virginia,13.133333333333333
Louisiana,12.433333333333332
Kentucky,12.333333333333334
Tennessee,12.200000000000001
South Carolina,11.966666666666667
New Mexico,11.833333333333334
Oklahoma,11.666666666666666
Georgia,11.4
Texas,11.1
North Carolina,11.066666666666668
California,10.933333333333332
Ohio,10.9
Arkansas,10.866666666666667
Indiana,10.866666666666667
Nevada,10.233333333333333
Virginia,10.233333333333333
New York,10.133333333333333
United States,10.1
Kansas,10.033333333333333
Delaware,10.033333333333333
Missouri,9.933333333333334
Maryland,9.833333333333334
Illinois,9.766666666666666
Arizona,9.700000000000001
South Dakota,9.633333333333333
Pennsylvania,9.5
Connecticut,9.366666666666667
Michigan,9.366666666666667
Rhode Island,9.200000000000001
Florida,8.866666666666667
North Dakota,8.833333333333334
New Jersey,8.766666666666667
Idaho,8.766666666666667
Nebraska,8.633333333333333
Iowa,8.6
Oregon,8.5
District Of Columbia,8.3
Maine,8.233333333333333
Utah,8.2
Hawaii,8.133333333333333
Alaska,8.0
Wisconsin,7.966666666666666
Minnesota,7.966666666666666
Washington,7.933333333333334
Massachusetts,7.8
Wyoming,7.633333333333333
Montana,7.633333333333333
New Hampshire,7.3
Vermont,7.1000000000000005
Colorado,6.466666666666666
